OrderID,ItemsQuantity,State,City,Street,AppartmentNumber,Pincode,Landmark,Discount,DeliveryCost,TotalAmount,ModeOfPayment,TransactionID,OrderDate,DeliveryDate,AgentID,PharmacyID,PrescriptionID,UserID,Status,Subscription
12,1,Florida,Olinda,1 Delaware Parkway,38,97243,near Government School,66.03,92.31,66.53,Net Banking,FKURAC974274,2021-01-01,2021-01-04,56,245,407,401,Delivered,0
13,10,Minnesota,Minnedosa,5 Marquette Plaza,88,83528,opposite Bakery,36.46,48.28,644.81,COD,LROIMR436290,2021-01-01,2021-01-07,31,123,,556,Cancelled,0
14,7,North Carolina,Zelenodolsk,50 Kim Place,2,50528,opposite Bakery,57.78,67.91,439.31,Net Banking,RTKZRG933008,2021-01-01,2021-01-06,97,245,,781,Out For Delivery,0
15,9,District of Columbia,Verrettes,608 Mitchell Street,6,24467,,64,51.31,556.25,Net Banking,KRFASE878816,2021-01-01,2021-01-07,39,161,,806,Out For Delivery,0
16,2,Texas,Sam Phran,85763 Drewry Court,23,10028,near Government School,49.04,79.09,302.8,E-Wallet,LEEVRN049078,2021-01-01,2021-01-04,32,117,,845,Being Placed,0
17,2,Florida,Buôn Ma Thuột,7 Starling Lane,71,22710,near Bus Stand,41.59,75.81,198.49,E-Wallet,FANUJE534542,2021-01-01,2021-01-05,79,87,,884,Being Placed,0
18,6,Virginia,Mosrentgen,27831 Darwin Center,90,18178,near Government School,1.36,47.78,1177.05,Credit Card,TZJVHU739725,2021-01-01,2021-01-09,10,212,,890,Delivered,0
19,9,Connecticut,Tangxing,7 South Trail,55,58114,,74.23,31.56,1172.87,E-Wallet,VNYODH225081,2021-01-01,2021-01-09,73,132,,972,Out For Delivery,0
20,2,Illinois,Usatove,30 Spenser Lane,16,54746,near Metro,4.01,77.61,203.14,Net Banking,LNOHPG979116,2021-01-02,2021-01-07,22,209,,120,Delivered,0
21,2,North Carolina,Jinji,1412 Clove Crossing,41,76924,near Garden,31.78,44.08,120.59,E-Wallet,FJGHDO866174,2021-01-02,2021-01-10,17,290,,146,Out For Delivery,0
22,7,Iowa,La Unión,73 Straubel Court,61,36619,near Metro,96.99,98.75,974.43,COD,UOXAMX567054,2021-01-02,2021-01-12,26,188,,264,Order Placed,0
23,4,Minnesota,Priiskovyy,628 Dovetail Junction,20,92595,near Government School,40.62,97.68,574.58,Credit Card,BCVCPC291583,2021-01-02,2021-01-06,53,230,,306,Order Placed,0
24,7,Kansas,Songkar B,3 Kim Place,3,60260,near Metro,16.54,90.88,1537.54,Net Banking,BKMCPO850868,2021-01-02,2021-01-06,85,215,,323,Out For Delivery,0
25,1,California,Huolu,9 Annamark Lane,28,36059,opposite Bakery,67.04,76.31,68.97,Credit Card,YGOJND601804,2021-01-02,2021-01-11,15,4,37,417,Delivered,0
26,3,Florida,La Celia,2 Merrick Circle,85,66751,near Garden,43.89,55.33,185.23,Credit Card,GVDOZK039540,2021-01-02,2021-01-12,46,80,,509,Dispatched,0
27,10,Pennsylvania,Palomoc,4 Schiller Street,67,86366,opposite Bakery,92.66,90.08,2524.17,Net Banking,TGMHOG871719,2021-01-02,2021-01-12,78,286,,512,Delivered,0
28,1,Pennsylvania,Palomoc,4 Schiller Street,67,86366,opposite Bakery,83.08,56.56,58.07,Dispatched,CJRRFF694086,2021-01-02,2021-01-05,5,146,,512,Order Placed,1
29,3,Illinois,Yantan,6155 Aberg Park,20,43758,near Bus Stand,92.66,84.67,126.8,Credit Card,YUREAK393210,2021-01-02,2021-01-09,50,84,,518,Delivered,0
30,5,Arkansas,Solna,162 Old Shore Crossing,58,32340,opposite Mall,99.77,38.38,790.38,Net Banking,SKZMNT412351,2021-01-02,2021-01-12,73,32,,557,Cancelled,0
31,1,Virginia,Roubaix,76402 Main Plaza,17,67190,near Government School,56.49,53.2,67.57,Net Banking,MAFCHW704756,2021-01-02,2021-01-11,14,51,,562,Being Placed,0
32,10,California,San Rafael,312 Corscot Road,83,77750,opposite Bakery,64.64,75.16,900.99,Net Banking,NZRHKB495053,2021-01-02,2021-01-08,87,147,,579,Dispatched,0
33,7,Ohio,Tomdibuloq,954 Heffernan Point,44,75652,,99.84,47.94,910.54,COD,YXMUYF712542,2021-01-02,2021-01-11,6,165,,670,Out For Delivery,0
34,1,Illinois,Baon,271 Sachtjen Trail,71,70281,front of Mall,58.3,89.16,87.45,Credit Card,OCGNKF540316,2021-01-02,2021-01-11,82,39,381,731,Cancelled,0
35,7,Minnesota,Arivonimamo,89 Kennedy Parkway,14,43622,near Garden,82.97,80.53,406.59,Credit Card,GDJJML807611,2021-01-02,2021-01-12,77,183,,854,Delivered,0
36,1,Ohio,Guacarí,4293 Ridgeview Park,5,82815,opposite Bakery,26.63,49.96,81.45,Credit Card,JPEUZR511253,2021-01-02,2021-01-10,94,29,440,857,Delivered,0
37,3,Kentucky,Šoštanj,9988 Oak Pass,56,26562,near Bus Stand,23.54,96.26,246.65,E-Wallet,KHYKDW834092,2021-01-02,2021-01-07,44,142,,886,Out For Delivery,0
38,1,New York,Nantes,952 Anniversary Street,59,67125,near Government School,95.72,70.06,56.79,Order Placed,UNSWHK399942,2021-01-02,2021-01-08,75,84,,905,Order Placed,1
39,2,Minnesota,Paris 15,49 7th Junction,42,99714,opposite Bakery,7.44,74.37,272.74,Net Banking,XJIOUO932334,2021-01-02,2021-01-09,40,168,,949,Order Placed,0
40,10,New York,Botao,791 Scofield Avenue,72,75031,near Garden,79.95,98.98,1632.25,E-Wallet,SLYIHG039830,2021-01-02,2021-01-12,87,262,,966,Dispatched,0
41,9,Nevada,Konosha,6790 Old Shore Parkway,39,13222,near Bus Stand,76.7,55.83,1097.92,Credit Card,CFGVLO635590,2021-01-03,2021-01-12,54,168,,38,Dispatched,0
42,1,Hawaii,Batangan,2 Gerald Pass,66,19191,near Bus Stand,37.55,73.15,131.15,COD,FLPSFY988465,2021-01-03,2021-01-12,18,19,351,79,Being Placed,0
43,1,Hawaii,Batangan,2 Gerald Pass,66,19191,near Bus Stand,15.14,36.94,70.81,Order Placed,MHCOHX992286,2021-01-03,2021-01-06,39,14,351,79,Being Placed,1
44,2,Texas,Krasnogorskoye,47197 Hallows Terrace,95,30873,near Bus Stand,49.18,80,102.78,Credit Card,JLYOBP209589,2021-01-03,2021-01-11,31,177,,123,Cancelled,0
45,9,Colorado,Pa Kham,210 Columbus Court,36,70349,,97.04,44.98,1405.2,Net Banking,ZSZLHJ946714,2021-01-03,2021-01-08,6,53,,143,Out For Delivery,0
46,10,District of Columbia,Ajman,953 Oxford Plaza,76,36407,,52.17,71.01,2093.77,E-Wallet,FTQXVC968240,2021-01-03,2021-01-08,30,244,,166,Delivered,0
47,8,Illinois,Kayan Hulu,5 Milwaukee Parkway,7,52485,opposite Bakery,79.05,32.79,574.39,E-Wallet,FHSNSI310849,2021-01-03,2021-01-09,93,284,,194,Order Placed,0
48,5,Iowa,M�tli,718 Eastwood Way,47,54808,,60.55,48.73,374.14,Net Banking,VXQBXY675125,2021-01-03,2021-01-13,78,150,,199,Cancelled,0
49,9,Tennessee,Bombardopolis,781 Rockefeller Alley,4,88744,opposite Bakery,62.06,40.9,1221.97,E-Wallet,AWJGHK513687,2021-01-03,2021-01-11,33,149,,289,Being Placed,0
50,4,Nevada,Åkersberga,729 Gina Plaza,27,60859,,67.85,39.11,1126.5,Net Banking,IOMISV452284,2021-01-03,2021-01-10,24,193,,326,Being Placed,0
51,10,Texas,Kulonkali,14012 Blackbird Point,38,68341,near Government School,91.18,63.13,1493.56,E-Wallet,DMEYXS394050,2021-01-03,2021-01-07,69,292,,378,Dispatched,0
52,5,California,Pimbalayan,7051 Schurz Junction,55,49664,near Metro,22.72,83.11,757.23,E-Wallet,OTJRLN187616,2021-01-03,2021-01-07,41,7,,392,Delivered,0
53,1,Illinois,Shanglu,320 Bay Avenue,3,29806,opposite Mall,66.55,99.92,84.38,Delivered,ZVYSND120135,2021-01-03,2021-01-08,26,166,,424,Delivered,1
54,3,Oklahoma,Ovsyanka,0945 Maple Wood Place,53,61423,,58.54,74.87,156.48,COD,KEOOPL252848,2021-01-03,2021-01-11,58,156,,502,Out For Delivery,0
55,9,Texas,Aoshi,66 Eastwood Road,19,94862,near Metro,39.53,33.42,1530.29,Credit Card,VTVXDC397037,2021-01-03,2021-01-09,1,93,,540,Order Placed,0
56,5,South Dakota,Corupá,026 Merry Point,56,24518,near Metro,3.63,84.67,327.22,Net Banking,IILKYM269437,2021-01-03,2021-01-06,2,45,,812,Order Placed,0
57,8,Alabama,Heling,24591 Carpenter Crossing,81,70672,near Garden,19.08,75.08,2480.61,COD,TLMPRG791052,2021-01-03,2021-01-13,86,22,,834,Order Placed,0
58,8,Hawaii,Jeremoabo,7 Dovetail Way,14,14502,near Garden,20.76,48.34,454.36,Net Banking,ODBUKQ098945,2021-01-03,2021-01-08,74,98,,864,Delivered,0
59,1,New York,Lawdar,46 Schmedeman Point,74,89593,,56.75,36.55,26.54,Credit Card,DJCHSZ957635,2021-01-03,2021-01-08,82,143,,872,Order Placed,0
60,7,Maryland,Yongfeng,08401 Merry Avenue,46,88279,front of Mall,97.64,98.61,386.28,E-Wallet,LZITJD586731,2021-01-03,2021-01-09,34,222,,895,Cancelled,0
61,10,Virginia,Joinville,4691 Crescent Oaks Street,73,11302,opposite Mall,97.12,88.97,1418.23,Net Banking,PDLZCN015049,2021-01-03,2021-01-13,95,112,,979,Delivered,0
62,9,California,Linhares,81361 Dakota Pass,64,80298,,19.65,71.54,1812.82,Credit Card,ZESUZE154265,2021-01-04,2021-01-12,57,69,,18,Dispatched,0
63,2,California,Heby,5 Gateway Trail,78,82296,,97.95,49.38,22.69,COD,BVKJLF621856,2021-01-04,2021-01-10,91,87,,74,Order Placed,0
64,1,Pennsylvania,Abaza,166 Toban Avenue,4,49538,near Government School,61.9,40.02,36.94,Out For Delivery,QUPLRE224358,2021-01-04,2021-01-08,27,159,,138,Delivered,1
65,3,Minnesota,Buguruslan,12975 Sunfield Plaza,10,81857,,90.63,92.38,172.63,COD,ZHAWKE458603,2021-01-04,2021-01-07,80,231,,184,Dispatched,0
66,7,California,Ea T’ling,2826 Roxbury Junction,56,55068,,93.83,85.94,1938.02,E-Wallet,ZLJCMB527828,2021-01-04,2021-01-13,63,128,,206,Cancelled,0
67,3,California,Noveleta,147 Jenifer Hill,84,93783,,92.49,97.15,197.41,Net Banking,LEIDUW923432,2021-01-04,2021-01-07,12,193,,246,Cancelled,0
68,7,Alabama,Tianzhu,396 Steensland Road,91,90662,near Garden,38.82,92.08,609.17,Net Banking,NCWKVB327014,2021-01-04,2021-01-13,27,147,,275,Dispatched,0
69,10,New York,Nagrog,183 Jenifer Pass,3,85264,front of Mall,5.19,47.07,662.37,E-Wallet,PPBERO282074,2021-01-04,2021-01-08,94,84,,337,Out For Delivery,0
70,1,Oregon,Stockholm,43439 Bayside Alley,28,39400,,22.98,38.61,78.62,Order Placed,EVQMTO876735,2021-01-04,2021-01-08,63,296,,366,Being Placed,1
71,1,Iowa,San Juan,4584 Mosinee Center,20,24065,near Garden,61.04,55.78,92.75,Credit Card,PLXQOX942758,2021-01-04,2021-01-08,57,237,263,494,Dispatched,0
72,7,Georgia,Xinghua,68514 Lukken Place,13,76069,,43.37,46.96,1202.68,COD,USCWMV827437,2021-01-04,2021-01-11,98,168,,529,Being Placed,0
73,7,Missouri,Taquile,8 Nelson Point,38,70746,opposite Mall,46.61,99.11,1142.42,Credit Card,EVVXIT394279,2021-01-04,2021-01-07,14,68,,606,Delivered,0
74,1,California,Simões Filho,923 Park Meadow Park,88,97016,,15.48,35.04,107.5,Credit Card,CAQEHX473773,2021-01-04,2021-01-14,7,240,,618,Cancelled,0
75,1,Texas,Duko,95647 Morningstar Way,77,21047,near Bus Stand,87.47,45.44,29.48,E-Wallet,JUZEMG327634,2021-01-04,2021-01-09,42,19,592,636,Being Placed,0
76,2,Idaho,Des Moines,20 Little Fleur Crossing,59,64027,opposite Mall,90.87,94.67,76.33,Net Banking,TBSQNR230079,2021-01-04,2021-01-09,43,269,,730,Order Placed,0
77,10,Massachusetts,Catalão,3488 West Alley,53,32379,,70.28,37.7,1732.71,Net Banking,LEAWRK795944,2021-01-04,2021-01-11,94,168,,762,Cancelled,0
78,10,California,Baixiang,7 Lindbergh Lane,77,95711,opposite Mall,65.44,46.59,1281.31,E-Wallet,MOMGST306922,2021-01-04,2021-01-11,52,174,,828,Dispatched,0
79,3,California,Baixiang,7 Lindbergh Lane,77,95711,opposite Mall,26.95,94.95,258.36,COD,OPXLEY363795,2021-01-04,2021-01-09,76,102,,828,Being Placed,0
80,2,Alabama,Heling,24591 Carpenter Crossing,81,70672,near Garden,49.01,43.85,766.7,Credit Card,OCLQSA405573,2021-01-04,2021-01-11,60,58,,834,Delivered,0
81,9,Ohio,Grängesberg,93235 Saint Paul Court,83,50864,,83.37,68.24,1190.14,E-Wallet,SDUWMN118561,2021-01-04,2021-01-08,88,283,,837,Cancelled,0
82,10,Nevada,Den Haag,9993 Homewood Circle,67,88407,,73.55,53.07,753.71,COD,SIIXOI660602,2021-01-04,2021-01-07,19,18,,932,Order Placed,0
83,9,California,Luzhou,1 Homewood Center,34,37877,,40.43,81.84,1081.24,COD,EIMXJT772946,2021-01-04,2021-01-11,68,279,,987,Cancelled,0
84,3,California,Luzhou,1 Homewood Center,34,37877,,98.62,58.65,118.18,E-Wallet,YDTJTB773315,2021-01-04,2021-01-07,23,234,,987,Cancelled,0
85,9,Maryland,Kengkou,6811 Loeprich Alley,59,41546,near Garden,37.11,92.79,1390.17,Credit Card,EZHNBB083734,2021-01-05,2021-01-10,12,44,,82,Out For Delivery,0
86,6,New Jersey,Sacsamarca,25 Myrtle Lane,45,96416,near Bus Stand,49.9,44.12,1494.34,E-Wallet,MXNRVZ393953,2021-01-05,2021-01-13,30,77,,245,Delivered,0
87,6,Colorado,Kaliuling,521 Pepper Wood Pass,99,52187,near Bus Stand,84.19,81.09,523.69,COD,WNYRNS258601,2021-01-05,2021-01-10,88,280,,269,Cancelled,0
88,1,Wisconsin,Puerto Guzmán,766 La Follette Hill,58,95264,opposite Bakery,72.02,76.85,39.88,Credit Card,AGRSND224781,2021-01-05,2021-01-15,14,256,165,361,Out For Delivery,0
89,8,Pennsylvania,Zhongshan,65900 Mallard Center,1,71303,near Metro,21.07,78.35,641.45,Credit Card,AZKPTB387510,2021-01-05,2021-01-09,8,83,,423,Being Placed,0
90,6,California,Mopti,047 Basil Center,50,22169,opposite Bakery,53.29,53.29,1667.03,Credit Card,WRFZFU946699,2021-01-05,2021-01-09,2,190,,437,Out For Delivery,0
91,2,Oklahoma,Gorskaya,15362 Hauk Place,40,88709,near Government School,62.01,95.56,679.89,Credit Card,MQTXCV851710,2021-01-05,2021-01-09,65,119,,460,Delivered,0
92,3,Illinois,La Victoria,78 Acker Avenue,45,29085,opposite Mall,37.53,71.57,1173.26,Credit Card,PFBCIR597160,2021-01-05,2021-01-12,52,18,,508,Order Placed,0
93,7,Louisiana,Cimo de Vila,8 Sheridan Drive,66,40059,,68.59,93.96,994.82,COD,YXTDUB994047,2021-01-05,2021-01-08,80,128,,544,Delivered,0
94,1,Virginia,Daba,7921 Commercial Parkway,45,11374,opposite Mall,7.19,53.74,71.81,COD,KLFWMO090118,2021-01-05,2021-01-08,79,238,435,572,Out For Delivery,0
95,5,Minnesota,Nalus,448 Maywood Street,86,39530,near Metro,54.08,87.64,357.07,COD,AFSNPO820751,2021-01-05,2021-01-11,96,71,,582,Delivered,0
96,2,Tennessee,Liulin,121 Jenna Point,33,33118,,12.94,61.63,176.69,COD,GTFEGN308368,2021-01-05,2021-01-11,30,107,,595,Dispatched,0
97,6,Kentucky,Hamburg Sankt Pauli,24 Spohn Place,42,32415,front of Mall,21.99,98.47,407.7,E-Wallet,ZJNPOA912601,2021-01-05,2021-01-09,69,94,,611,Dispatched,0
98,1,Ohio,Shenzhong,029 Granby Hill,14,51015,opposite Bakery,98.9,75.23,858.81,Being Placed,ONKEMH538490,2021-01-05,2021-01-10,30,10,,612,Cancelled,1
99,3,Virginia,Xijia,5145 High Crossing Circle,99,61408,,16.11,60.55,906.78,Credit Card,PHAWIS567620,2021-01-05,2021-01-12,100,248,,619,Order Placed,0
100,2,Kentucky,Ārt Khw�jah,14362 Schlimgen Point,64,64249,,92.45,46.66,553.25,COD,YIRCVQ862676,2021-01-05,2021-01-08,14,117,,700,Delivered,0
101,4,New York,Itapuí,1779 Lindbergh Road,94,30549,near Bus Stand,8.19,39.08,303.91,Net Banking,TRYYSR329796,2021-01-05,2021-01-09,32,47,,738,Out For Delivery,0
102,7,Utah,Pijao,11 Transport Road,98,81209,,15.24,77.98,1674.98,Credit Card,PIRLGY076578,2021-01-05,2021-01-11,40,283,,842,Cancelled,0
103,8,Arizona,Wamba,7053 Dryden Place,66,87419,,25.12,87.66,602.15,E-Wallet,TNJNFJ607263,2021-01-05,2021-01-10,6,129,,847,Order Placed,0
104,2,Texas,T’ianet’i,05 Weeping Birch Alley,84,33437,near Metro,69.23,52.18,76.16,Net Banking,SAUBPT968042,2021-01-05,2021-01-14,79,34,,848,Order Placed,0
105,1,Colorado,Natu,88 Thompson Park,66,41769,opposite Bakery,67.31,78.76,111.26,E-Wallet,TVAPSB933149,2021-01-05,2021-01-14,7,28,318,856,Dispatched,0
106,4,Alabama,Olyshivka,5809 Banding Center,27,79912,near Government School,79.37,86.03,1108.48,Credit Card,XKLTKL443634,2021-01-05,2021-01-13,13,255,,906,Dispatched,0
107,6,Indiana,Nishinomiya-hama,3 Warbler Drive,80,28355,opposite Bakery,83.31,83.48,359.75,Net Banking,CJNMZG836074,2021-01-05,2021-01-11,16,12,,911,Dispatched,0
108,7,Oklahoma,Campinas,8 Hoard Circle,90,61091,opposite Bakery,29.73,54.38,407.33,Credit Card,YVLVTP847890,2021-01-05,2021-01-13,55,37,,924,Order Placed,0
109,7,Arkansas,Ramos,65204 Kensington Center,28,50839,near Bus Stand,37.24,33.16,1137.36,Net Banking,FAVLUL657818,2021-01-05,2021-01-15,88,13,,975,Being Placed,0
110,4,Virginia,Kaynardzha,17 Main Court,79,32088,opposite Mall,20.06,83.96,355.52,E-Wallet,RQHWVW697273,2021-01-05,2021-01-08,16,81,,993,Delivered,0
111,10,Virginia,Bilhorod-Dnistrovs’kyy,41 Starling Junction,37,80020,,94.78,51.06,527.54,E-Wallet,KXGCVK885665,2021-01-06,2021-01-16,38,173,,43,Out For Delivery,0
112,8,District of Columbia,Pandak,036 Blackbird Drive,76,55635,near Metro,85.96,30.82,1177.68,COD,OWGEYW682598,2021-01-06,2021-01-10,34,171,,61,Out For Delivery,0
113,1,Virginia,Beckerich,2642 Elka Junction,74,85538,,84.72,66.26,35.94,Dispatched,IUJCFW878080,2021-01-06,2021-01-11,6,141,348,72,Cancelled,1
114,10,Michigan,Liangshui,67 Arapahoe Park,88,75294,,21.07,84.46,580.71,Net Banking,PNXQHB009364,2021-01-06,2021-01-13,50,280,,144,Being Placed,0
115,8,California,Ea T’ling,2826 Roxbury Junction,56,55068,,73.94,42.17,392.75,Net Banking,MVMPZE241061,2021-01-06,2021-01-11,20,118,,206,Being Placed,0
116,9,California,Alejal,7 Springview Center,38,99553,front of Mall,46.27,87.38,547.3,COD,LJFDKE074483,2021-01-06,2021-01-15,65,60,,208,Out For Delivery,0
117,9,Alaska,Bridgetown,5242 Hermina Road,27,62778,,85.85,64.87,458.15,Credit Card,ZYIEHP928982,2021-01-06,2021-01-11,29,170,,263,Cancelled,0
118,5,California,Yenangyaung,23731 Dennis Street,35,40240,near Metro,54.78,80.51,336.18,COD,AUEVAV691002,2021-01-06,2021-01-10,58,33,,270,Being Placed,0
119,2,Missouri,Rosmaninhal,90 Rowland Alley,76,97890,near Bus Stand,77.45,84.33,150.46,E-Wallet,RMOVHO342466,2021-01-06,2021-01-12,99,103,,314,Order Placed,0
120,2,California,Oyonnax,8 Bluestem Road,21,35903,near Metro,6.6,47.62,922.03,Net Banking,QTBWUP605086,2021-01-06,2021-01-09,64,130,,342,Delivered,0
121,5,Nevada,Seattle,27 Surrey Junction,75,20951,near Garden,30.87,46.95,412.88,E-Wallet,DSSBIY128953,2021-01-06,2021-01-14,99,67,,397,Being Placed,0
122,4,New York,Kankara,900 West Drive,21,79568,near Garden,70.37,37.89,736.84,COD,RERQTT150001,2021-01-06,2021-01-16,15,183,,566,Dispatched,0
123,3,North Carolina,Basing,7356 Tomscot Way,58,78232,,65.23,66.53,617.54,Credit Card,FLVOZQ479531,2021-01-06,2021-01-10,23,237,,604,Delivered,0
124,1,Pennsylvania,Raydah,99441 Sundown Alley,68,54145,near Garden,25.32,97.77,110.57,Delivered,OJAIUG900477,2021-01-06,2021-01-13,79,242,,658,Being Placed,1
125,1,Virginia,Boulsa,45662 Westridge Plaza,80,56752,near Metro,95.53,95.55,66.69,Order Placed,OPWPAX738039,2021-01-06,2021-01-10,20,172,,795,Cancelled,1
126,10,Alabama,Ungaran,6 Blue Bill Park Drive,53,38319,near Metro,73.8,99.66,1584.74,E-Wallet,FTFZPA312194,2021-01-06,2021-01-09,18,170,,830,Dispatched,0
127,7,Missouri,Xieqiao,967 Transport Road,60,50227,,10.07,36.81,1862,COD,KINFCR935077,2021-01-06,2021-01-16,18,293,,880,Cancelled,0
128,7,Tennessee,Burgas,06 Melvin Parkway,56,45839,opposite Mall,80.51,58.75,1854.76,Net Banking,IJCJHO155661,2021-01-06,2021-01-11,45,27,,888,Out For Delivery,0
129,2,New Hampshire,Bokani,6346 Cascade Plaza,5,63325,near Government School,43.9,39.18,556.67,Credit Card,WTWRUY817152,2021-01-06,2021-01-15,46,70,,893,Delivered,0
130,6,California,Villa Florida,756 Delladonna Center,51,56957,opposite Bakery,45.37,46.68,256.63,COD,GXUQMM304660,2021-01-06,2021-01-10,14,285,,970,Dispatched,0
131,1,District of Columbia,Kyaiklat,4916 Service Terrace,47,63306,near Bus Stand,78.25,90.77,71.16,Delivered,MWBHJA843031,2021-01-07,2021-01-11,51,127,496,115,Dispatched,1
132,5,Alabama,Cova da Iria,9 Lakewood Gardens Drive,5,66620,,19.07,71.2,445.88,Net Banking,ABKHUV110740,2021-01-07,2021-01-14,73,129,,116,Being Placed,0
133,7,Illinois,Kadipaten,652 Hansons Junction,48,19570,,93.12,62.3,847.95,COD,WDUFIZ877583,2021-01-07,2021-01-17,47,112,,295,Order Placed,0
134,6,New York,Melaka,06964 Manitowish Trail,19,10723,,18.04,54.65,364.09,E-Wallet,KPUTON674872,2021-01-07,2021-01-10,90,2,,301,Dispatched,0
135,8,Ohio,Yelenendorf,75749 Heffernan Junction,77,51979,near Government School,55.89,51.76,479.11,Net Banking,CTGVNV317083,2021-01-07,2021-01-13,7,222,,330,Dispatched,0
136,2,Ohio,Yelenendorf,75749 Heffernan Junction,77,51979,near Government School,8.42,35.92,172.79,Credit Card,RCZERG648385,2021-01-07,2021-01-17,26,295,,330,Cancelled,0
137,5,District of Columbia,Rinconada,601 Onsgard Terrace,69,21560,opposite Bakery,52.57,97.69,425.63,E-Wallet,BERDZC499372,2021-01-07,2021-01-12,1,247,,352,Delivered,0
138,10,Missouri,Farmington,20 Scofield Circle,13,31435,opposite Bakery,45.67,59.59,1254.03,Net Banking,GIVIWR465627,2021-01-07,2021-01-13,81,64,,405,Cancelled,0
139,5,Pennsylvania,Taounate,42 Thierer Junction,44,56753,near Bus Stand,19.73,80.85,446.58,E-Wallet,YIMUIB316382,2021-01-07,2021-01-12,91,207,,432,Dispatched,0
140,6,Virginia,Borås,28926 Goodland Alley,73,92842,opposite Mall,17.61,64.59,1378.57,E-Wallet,GPIFET594483,2021-01-07,2021-01-15,71,51,,441,Cancelled,0
141,3,Pennsylvania,Tanqiao,0 Morrow Avenue,50,37853,,43.21,41.63,208.18,Credit Card,RWWOWX340624,2021-01-07,2021-01-14,86,284,,450,Order Placed,0
142,7,Texas,Yuanling,62 Upham Avenue,52,84737,,48.84,55.89,395.56,E-Wallet,RRWYBO223961,2021-01-07,2021-01-11,65,208,,452,Being Placed,0
143,7,Oklahoma,Gorskaya,15362 Hauk Place,40,88709,near Government School,80.09,65.96,460.93,Net Banking,ZHYTNA789859,2021-01-07,2021-01-14,48,293,,460,Being Placed,0
144,1,New Jersey,Starobelokurikha,7111 Eagle Crest Hill,65,97459,opposite Bakery,63.44,53.4,59.71,Credit Card,NPSCAU648238,2021-01-07,2021-01-10,1,273,650,526,Out For Delivery,0
145,2,Florida,Ticllos,06826 Armistice Alley,27,15832,front of Mall,6.04,33.09,837.27,Credit Card,IUMZVH392490,2021-01-07,2021-01-17,50,177,,563,Out For Delivery,0
146,6,Virginia,Daba,7921 Commercial Parkway,45,11374,opposite Mall,89.29,35.58,219.23,Credit Card,LHKHUU657444,2021-01-07,2021-01-14,38,59,,572,Being Placed,0
147,6,California,Wangyi Zhendian,88 Drewry Road,7,92059,near Bus Stand,88.32,80.83,1033.8,E-Wallet,NWBZQX925065,2021-01-07,2021-01-11,38,213,,678,Cancelled,0
148,4,Pennsylvania,Mae Ramat,094 Esch Court,52,22323,opposite Mall,34.23,32.05,790.68,Net Banking,MAPCIP748254,2021-01-07,2021-01-15,52,220,,728,Being Placed,0
149,6,Illinois,Piedade,44 Monica Street,49,87512,,60.3,33.43,1375.25,E-Wallet,SBNYEE493707,2021-01-07,2021-01-15,55,49,,815,Delivered,0
